fileName,ch1,ch2,ch3,ch4,ch5,ch6
11-54-17_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-02-09_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-02-17_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-02-46_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-02-54_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-03-08_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-03-18_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-04-17_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-05-32_dur=600secs.wav,ok,ok,ok,ok,ok,ok
12-52-28_dur=600secs.wav,ok,ok,ok,ok,ok,ok
