fileName,ch1,ch2,ch3,ch4,ch5,ch6
Blue_PostMortemLoc_bird01.wav,0.0015144,0.0015102,9.2623e-05,9.0833e-05,0.0013827,0.0015559
Blue_PostMortemLoc_bird02.wav,0.0015085,0.0015025,9.2343e-05,9.0524e-05,0.0013711,0.0015485
Blue_PostMortemLoc_pink01.wav,0.0015489,0.0015426,9.244e-05,9.062e-05,0.0013807,0.0016226
Blue_Repowered_bird01.wav,9.2053e-05,9.0788e-05,0.0013581,0.0016726,0.0016287,0.0015992
Blue_Repowered_bird02.wav,9.1828e-05,9.0482e-05,0.0013496,0.001675,0.0015983,0.0015921
Blue_Repowered_pink01.wav,9.2272e-05,9.0783e-05,0.0013562,0.0016802,0.0016812,0.001651
Blue_Repowered_pink02.wav,9.2466e-05,9.0545e-05,0.0013481,0.0016704,0.0016729,0.0016211
YelloGreen_PostMortem_bird01.wav,0.023589,0.018757,0.0014391,0.0015552,0.0015614,0.0014653
YelloGreen_PostMortem_bird02.wav,0.023582,0.01869,0.0014409,0.0015563,0.0015575,0.0014558
YelloGreen_PostMortem_bird03.wav,0.014929,0.01315,0.0013743,0.0014687,0.001463,0.0013881
YelloGreen_PostMortem_pink01.wav,0.021591,0.018298,0.0014346,0.0015698,0.0015516,0.0014545
YelloGreen_PostMortem_pink02.wav,0.020447,0.01724,0.0014203,0.0015558,0.0015409,0.001445
YellowGreen_flipped_bird01.wav,0.022356,0.017541,0.001436,0.0015504,0.0015439,0.001467
YellowGreen_flipped_pink01.wav,0.02117,0.015905,0.0014339,0.0015462,0.0015488,0.0014488
Yellow_PostMortemLoc_bird01.wav,0.0020551,0.0027821,0.0032472,0.0027312,0.0024406,0.002036
Yellow_PostMortemLoc_bird02.wav,0.001972,0.0026406,0.0031245,0.0026692,0.0024025,0.0019899
Yellow_PostMortemLoc_pink02.wav,0.0030096,0.0041347,0.0044077,0.0039628,0.0034412,0.0028605
Yellow_PostMortemLoc_pink03.wav,0.0028199,0.0038689,0.0040914,0.0036383,0.0031984,0.0026841
